"Household, Family and Nonfamily Income: New Jersey and Counties",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,New Jersey,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County
"$35,000 to $39,999","70,732","3,053","5,638","3,179","4,962",851,"1,716","7,200","1,999","5,870",528,"2,689","5,263","4,255","3,143","6,583","4,638",828,"2,187","1,128","4,492",530
"$40,000 to $44,999","75,683","2,984","7,248","4,084","4,559","1,213","1,744","7,642","1,998","6,375",685,"2,723","6,875","3,592","3,528","6,676","4,480",587,"1,910","1,033","4,683","1,064"
"$45,000 to $49,999","72,514","3,220","6,322","3,878","4,458","1,552","1,707","6,057","2,460","5,821",593,"2,661","6,341","4,308","2,553","6,641","4,300",451,"2,221","1,182","4,721","1,067"
"$50,000 to $59,999","148,021","5,443","14,346","8,240","9,871","2,684","3,049","11,519","5,749","10,902","1,781","5,622","14,104","9,584","5,887","12,144","7,578","1,538","3,335","2,824","9,612","2,209"
"$60,000 to $74,999","212,875","7,323","21,147","11,255","14,464","3,010","4,092","16,834","8,549","14,091","2,424","7,747","20,087","12,554","11,165","17,560","11,164","2,107","6,636","4,432","12,987","3,247"
"$75,000 to $99,999","320,737","11,562","33,427","19,631","21,360","4,623","5,677","22,938","13,145","17,338","3,917","11,809","30,896","23,092","17,467","24,650","14,389","2,782","11,391","7,759","17,139","5,745"
"$100,000 to $124,999","269,401","6,683","30,258","16,430","15,985","3,392","3,781","18,235","11,706","12,692","4,594","9,955","29,047","22,223","16,520","18,176","11,662","2,501","10,782","6,075","14,582","4,122"
"$125,000 to $149,999","183,399","3,414","22,211","11,748","9,204","2,474","1,802","10,342","6,538","9,468","3,653","7,709","19,390","15,857","14,105","11,599","7,715","1,001","8,018","4,692","9,710","2,749"
"$150,000 to $199,999","219,286","3,929","29,892","13,121","9,749","1,826","1,637","14,082","7,114","9,081","5,477","9,328","21,952","19,654","19,418","10,934","9,618","1,180","12,292","4,359","11,864","2,779"
"Less than $200,000","1,956,314","63,697","201,103","105,135","120,493","28,485","34,416","162,993","70,114","134,880","26,575","75,679","182,002","135,332","105,212","141,845","105,261","16,382","65,858","38,141","114,719","27,992"
"$200,000 or more","235,327","2,726","36,904","10,643","7,739","1,611","1,112","18,631","4,986","10,490","7,645","11,703","18,424","25,194","25,492","7,746","7,288",730,"16,372","3,409","14,533","1,949"
Median Family Income in 2010,"$84,547","$64,381","$100,141","$91,582","$74,906","$69,632","$61,557","$68,236","$85,036","$60,444","$123,255","$89,891","$90,604","$102,313","$113,566","$73,532","$66,536","$71,783","$114,637","$92,606","$79,554","$84,285"
Aggregate Family Income in 2010,"$238,133,139,500","$5,282,348,900","$30,830,888,800","$12,648,455,200","$11,698,836,200","$2,688,141,200","$2,580,401,000","$18,251,163,800","$7,300,525,400","$12,307,420,300","$5,132,449,200","$10,158,010,000","$21,233,247,700","$21,035,985,200","$19,168,726,200","$13,146,382,000","$9,678,286,000","$1,422,648,000","$12,092,981,000","$4,433,050,400","$14,108,877,300","$2,934,315,800"
Mean Family Income in 2010,"$108,655","$79,526","$129,538","$109,247","$91,232","$89,319","$72,630","$100,489","$97,211","$84,663","$149,984","$116,248","$105,941","$131,044","$146,658","$87,882","$85,992","$83,137","$147,063","$106,692","$109,158","$98,003"
Total Nonfamilies,"984,593","34,031","96,174","49,142","62,058","14,986","15,429","95,202","28,586","95,173","13,286","41,989","77,743","71,822","48,019","71,649","48,564","7,835","32,107","14,408","54,823","11,567"
"Less than $10,000","108,389","4,047","9,040","3,696","7,541","1,537","2,454","15,657","3,474","13,625",706,"4,753","6,594","6,378","3,082","6,457","7,783","1,098","1,563",939,"7,261",704
"$10,000 to $14,999","83,112","3,430","7,640","3,362","6,012","1,690","2,225","9,496","2,479","7,059",906,"3,142","5,888","5,152","2,722","8,361","4,765",892,"1,850",785,"4,065","1,191"
"$15,000 to $19,999","75,835","3,055","7,435","3,528","5,270","1,320","1,659","6,677","2,292","6,034",976,"2,595","6,001","5,629","3,170","7,509","3,431",903,"2,137",930,"4,316",968
"$20,000 to $24,999","66,612","2,767","6,351","3,071","4,610","1,217",997,"6,757","2,019","4,898",621,"3,132","4,594","4,882","2,766","6,224","3,525",566,"1,699",800,"4,086","1,030"
"$25,000 to $29,999","58,126","2,247","5,079","3,179","3,983","1,241","1,130","5,417","1,598","4,529",742,"2,554","4,659","4,281","2,327","5,452","3,034",605,"1,745",936,"2,659",729
"$30,000 to $34,999","56,249","2,107","5,005","2,797","3,762","1,154",987,"5,143","1,508","3,929",620,"2,375","4,327","4,283","2,696","4,689","3,061",564,"1,575",894,"4,135",638
"$35,000 to $39,999","49,460","2,223","4,719","2,655","3,614","1,097",751,"5,587","1,328","3,676",633,"1,764","4,145","3,507","2,070","3,786","2,205",296,"1,464",829,"2,605",506
"$40,000 to $44,999","48,912","2,120","4,854","2,976","3,733",536,790,"4,384","1,612","3,560",595,"2,100","3,694","3,698","1,703","3,718","2,450",461,"1,718",769,"2,762",679
"$45,000 to $49,999","40,337","1,545","3,699","2,822","2,910",457,584,"3,812","1,290","3,296",463,"1,656","3,240","2,593","2,607","2,622","2,261",319,"1,016",564,"1,958",623
"$50,000 to $59,999","81,399","2,552","8,280","4,766","5,641","1,133","1,355","7,870","2,619","6,455","1,290","3,604","6,472","5,969","4,375","5,576","3,464",530,"2,754","1,707","4,106",881
"$60,000 to $74,999","90,479","2,843","9,612","5,178","4,772","1,373",899,"7,289","2,841","8,404","1,305","3,871","8,321","6,452","5,365","5,755","4,047",670,"3,789","1,503","5,225",965
"$75,000 to $99,999","95,954","2,789","10,309","5,645","4,798","1,187",748,"7,777","2,822","9,688","1,745","4,406","8,338","7,375","5,790","5,737","3,854",444,"4,250","1,805","4,959","1,488"
"$100,000 to $124,999","54,433",739,"5,835","2,719","2,955",464,338,"4,003","1,483","6,527","1,189","2,586","5,267","4,687","3,903","2,870","2,177",197,"2,205","1,044","2,747",498
"$125,000 to $149,999","25,366",451,"2,804","1,362",841,160,223,"1,841",502,"3,889",520,900,"2,217","2,386","1,795","1,038",937,95,"1,244",427,"1,640",94
"$150,000 to $199,999","25,260",531,"2,690",655,917,230,246,"1,430",498,"4,839",475,"1,433","2,143","2,417","1,664","1,143",965,105,"1,254",274,"1,038",313
"Less than $200,000","959,923","33,446","93,352","48,411","61,359","14,796","15,386","93,140","28,365","90,408","12,786","40,871","75,900","69,689","46,035","70,937","47,959","7,745","30,263","14,206","53,562","11,307"
"$200,000 or more","24,670",585,"2,822",731,699,190,43,"2,062",221,"4,765",500,"1,118","1,843","2,133","1,984",712,605,90,"1,844",202,"1,261",260
Median Nonfamily Income in 2010,"$39,342","$32,446","$42,168","$43,801","$34,781","$32,455","$26,589","$32,770","$38,242","$45,335","$51,754","$41,378","$43,454","$42,231","$51,240","$31,812","$32,192","$28,566","$53,590","$47,477","$36,339","$40,106"
Aggregate Nonfamily Income in 2010,"$53,880,852,000","$1,522,774,200","$5,648,799,200","$2,628,043,900","$2,810,109,600","$668,284,700","$560,868,000","$4,565,908,800","$1,380,660,300","$6,345,886,900","$925,053,600","$2,399,785,900","$4,395,017,100","$4,269,129,300","$3,251,602,200","$3,229,148,000","$2,252,798,000","$309,931,900","$2,395,368,400","$819,533,700","$2,896,796,900","$605,351,400"
Mean Nonfamily Income in 2010,"$54,724","$44,747","$58,735","$53,479","$45,282","$44,594","$36,352","$47,960","$48,298","$66,677","$69,626","$57,153","$56,533","$59,440","$67,715","$45,069","$46,388","$39,557","$74,606","$56,880","$52,839","$52,334"
,,,,,,,,,,,,,,,,,,,,,,
"Source: 2010 American Community Survey 3-year estimates, US Bureau of the Census.",,,,,,,,,,,,,,,,,,,,,,
"Prepared by: New Jersey State Data Center, New Jersey Department of Labor, November 2011",,,,,,,,,,,,,,,,,,,,,,
