FIPS,EDU_PESS_Districts,EDU_PESS_Schools,EDU_PESS_Local_Inst,EDU_PESS_Students
08063,5,9,9,1400
08065,3,5,4,1033
08067,5,21,20,7790
08069,6,91,91,48592
08071,6,13,13,2241
08073,5,5,5,712
08075,5,13,13,2953
08077,5,52,52,23540
08079,1,1,1,81
08081,2,8,8,2219
08083,3,19,19,4056
08085,3,18,18,6551
08087,5,17,17,5597
08089,8,14,14,3299
08091,4,6,6,523
08093,3,8,8,1673
08095,4,5,5,910
08097,2,5,5,2145
08099,6,13,13,2370
08101,8,58,58,31458
08103,4,5,5,1281
08105,3,12,12,1988
08107,5,14,14,3477
08109,3,8,8,968
08111,1,3,3,80
08113,2,5,5,1143
08115,2,5,5,752
08117,2,9,9,3557
08119,2,7,7,2854
08121,5,11,11,945
08123,18,83,81,53913
08125,4,10,10,1788
10001,12,49,43,29011
10003,28,129,109,78428
10005,9,50,49,28825
11001,67,220,112,84942
12001,2,69,67,30625
12003,1,9,9,5004
12005,1,52,52,28024
12007,1,12,12,3225
12009,1,124,124,73444
12011,4,356,356,272531
12013,1,10,10,2183
12015,1,25,25,15923
12017,1,25,25,15363
12019,1,52,52,37011
12021,1,70,70,46416
12023,1,22,22,10066
12027,1,13,13,4912
12029,1,9,9,2152
12031,1,209,209,130119
12033,1,71,71,40386
12035,1,15,15,12931
12037,1,5,5,1320
12039,1,23,23,5620
12041,1,7,7,2751
12043,1,10,10,1689
12045,1,7,7,1960
12047,1,9,9,1688
12049,1,11,11,5260
12051,1,17,17,7398
12053,1,38,38,22218
12055,1,23,23,12318
12057,1,304,304,214243
12059,1,11,11,3311
12061,1,29,29,17879
12063,1,23,23,6738
12065,1,9,9,734
12067,1,7,7,1268
12069,1,59,59,42472
12071,1,125,125,92686
12073,4,64,59,36206
12075,1,15,15,5503
12077,1,10,10,1407
12079,1,15,15,2759
12081,1,78,78,48883
12083,1,68,68,43163
12085,1,38,38,19026
12086,1,528,528,357249
12087,1,24,24,8571
12089,1,21,21,11546
12091,1,51,51,31093
12093,1,15,15,6616
12095,2,261,257,208183
12097,1,76,76,62905
12099,3,279,277,193856
12101,1,116,116,72342
12103,1,168,168,102696
12105,2,165,165,102243
12107,1,25,25,11255
12109,2,54,48,39131
12111,1,51,51,41799
12113,1,38,38,27473
12115,1,61,61,42811
12117,1,76,76,67808
12119,1,14,14,8605
12121,1,13,13,6056
12123,1,10,10,2808
12125,1,9,9,2340
12127,1,91,91,63028
12129,1,14,14,5178
12131,1,20,20,9172
12133,2,11,10,3234
13001,1,6,6,3613
13003,1,4,4,1736
13005,1,4,4,2114
13007,1,1,1,301
13009,1,6,6,5519
13011,1,4,4,3197
13013,1,15,15,13568
13015,2,23,23,18170
13017,1,4,4,3252
13019,1,5,5,3149
13021,3,40,38,24583
13023,1,5,5,2516
13025,1,7,7,3496
13027,1,4,4,2129
13029,1,10,10,8941
13031,3,16,15,10695
13033,1,5,5,4283
13035,1,5,5,3444
13037,2,4,3,1196
13039,1,12,12,9199
13043,1,4,4,2193
13045,2,29,29,19957
13047,1,16,16,10690
13049,1,4,4,1689
13051,1,56,56,38062
13053,1,3,3,
13055,2,9,9,4240
13057,2,38,37,42734
13059,2,22,22,13447
13061,1,3,3,227
13063,4,65,62,69612
13065,1,3,3,1387
13067,3,123,123,122100
13069,1,12,12,7704
13071,1,14,14,9697
13073,1,31,31,26914
13075,2,4,4,3243
13077,4,30,28,23646
13079,1,3,3,1665
13081,1,5,5,4197
13083,1,4,4,2190
13085,1,7,7,3437
13087,1,9,9,5253
13089,5,168,140,111376
13091,2,5,5,3223
13093,1,3,3,1325
13095,1,23,23,14950
13097,1,35,35,26297
13099,1,3,3,2158
13101,1,2,2,823
13103,1,13,13,11988
13105,1,5,5,3083
13107,1,6,6,4392
13109,1,3,3,1869
13111,1,5,5,2923
13113,2,25,24,20393
13115,4,28,27,16329
13117,1,37,37,46238
13119,1,6,6,3700
13121,9,202,196,147186
13123,2,6,6,4175
13125,1,1,1,588
13127,1,17,17,13376
13129,2,15,15,10758
13131,1,7,7,4681
13133,1,5,5,2476
